Date,kWh
1/1/1999 0:30,0
1/1/1999 1:30,0
1/1/1999 2:30,0
1/1/1999 3:30,0
1/1/1999 4:30,0
1/1/1999 5:30,0
1/1/1999 6:30,0.077
1/1/1999 7:30,0.278
1/1/1999 8:30,0.492
1/1/1999 9:30,0.6375
1/1/1999 10:30,0.719
1/1/1999 11:30,0.7425
1/1/1999 12:30,0.707
1/1/1999 13:30,0.61
1/1/1999 14:30,0.446
1/1/1999 15:30,0.2275
1/1/1999 16:30,0.0545
1/1/1999 17:30,0
1/1/1999 18:30,0
1/1/1999 19:30,0
1/1/1999 20:30,0
1/1/1999 21:30,0
1/1/1999 22:30,0
1/1/1999 23:30,0
1/2/1999 0:30,0
1/2/1999 1:30,0
1/2/1999 2:30,0
1/2/1999 3:30,0
1/2/1999 4:30,0
1/2/1999 5:30,0
1/2/1999 6:30,0.0695
1/2/1999 7:30,0.259
1/2/1999 8:30,0.469
1/2/1999 9:30,0.6165
1/2/1999 10:30,0.701
1/2/1999 11:30,0.726
1/2/1999 12:30,0.693
1/2/1999 13:30,0.5985
1/2/1999 14:30,0.4355
1/2/1999 15:30,0.2215
1/2/1999 16:30,0.0535
1/2/1999 17:30,0
1/2/1999 18:30,0
1/2/1999 19:30,0
1/2/1999 20:30,0
1/2/1999 21:30,0
1/2/1999 22:30,0
1/2/1999 23:30,0
1/3/1999 0:30,0
1/3/1999 1:30,0
1/3/1999 2:30,0
1/3/1999 3:30,0
1/3/1999 4:30,0
1/3/1999 5:30,0
1/3/1999 6:30,0.0665
1/3/1999 7:30,0.252
1/3/1999 8:30,0.458
1/3/1999 9:30,0.609
1/3/1999 10:30,0.6995
1/3/1999 11:30,0.723
1/3/1999 12:30,0.689
1/3/1999 13:30,0.5945
1/3/1999 14:30,0.4325
1/3/1999 15:30,0.208
1/3/1999 16:30,0.041
1/3/1999 17:30,0
1/3/1999 18:30,0
1/3/1999 19:30,0
1/3/1999 20:30,0
1/3/1999 21:30,0
1/3/1999 22:30,0
1/3/1999 23:30,0
1/4/1999 0:30,0
1/4/1999 1:30,0
1/4/1999 2:30,0
1/4/1999 3:30,0
1/4/1999 4:30,0
1/4/1999 5:30,0
1/4/1999 6:30,0.0675
1/4/1999 7:30,0.2535
1/4/1999 8:30,0.461
1/4/1999 9:30,0.61
1/4/1999 10:30,0.693
1/4/1999 11:30,0.7135
1/4/1999 12:30,0.6655
1/4/1999 13:30,0.5275
1/4/1999 14:30,0.3385
1/4/1999 15:30,0.1395
1/4/1999 16:30,0.0185
1/4/1999 17:30,0
1/4/1999 18:30,0
1/4/1999 19:30,0
1/4/1999 20:30,0
1/4/1999 21:30,0
1/4/1999 22:30,0
1/4/1999 23:30,0
1/5/1999 0:30,0
1/5/1999 1:30,0
1/5/1999 2:30,0
1/5/1999 3:30,0
1/5/1999 4:30,0
1/5/1999 5:30,0
1/5/1999 6:30,0.002
1/5/1999 7:30,0.0185
1/5/1999 8:30,0.052
1/5/1999 9:30,0.0885
1/5/1999 10:30,0.1145
1/5/1999 11:30,0.129
1/5/1999 12:30,0.1165
1/5/1999 13:30,0.0795
1/5/1999 14:30,0.0455
1/5/1999 15:30,0.0165
1/5/1999 16:30,0.0015
1/5/1999 17:30,0
1/5/1999 18:30,0
1/5/1999 19:30,0
1/5/1999 20:30,0
1/5/1999 21:30,0
1/5/1999 22:30,0
1/5/1999 23:30,0
1/6/1999 0:30,0
1/6/1999 1:30,0
1/6/1999 2:30,0
1/6/1999 3:30,0
1/6/1999 4:30,0
1/6/1999 5:30,0
1/6/1999 6:30,0.0685
1/6/1999 7:30,0.2565
1/6/1999 8:30,0.4635
1/6/1999 9:30,0.6035
1/6/1999 10:30,0.68
1/6/1999 11:30,0.698
1/6/1999 12:30,0.6525
1/6/1999 13:30,0.5455
1/6/1999 14:30,0.383
1/6/1999 15:30,0.1725
1/6/1999 16:30,0.0285
1/6/1999 17:30,0
1/6/1999 18:30,0
1/6/1999 19:30,0
1/6/1999 20:30,0
1/6/1999 21:30,0
1/6/1999 22:30,0
1/6/1999 23:30,0
1/7/1999 0:30,0
1/7/1999 1:30,0
1/7/1999 2:30,0
1/7/1999 3:30,0
1/7/1999 4:30,0
1/7/1999 5:30,0
1/7/1999 6:30,0.032
1/7/1999 7:30,0.121
1/7/1999 8:30,0.1915
1/7/1999 9:30,0.2225
1/7/1999 10:30,0.2785
1/7/1999 11:30,0.364
1/7/1999 12:30,0.3885
1/7/1999 13:30,0.394
1/7/1999 14:30,0.3415
1/7/1999 15:30,0.158
1/7/1999 16:30,0.0275
1/7/1999 17:30,0
1/7/1999 18:30,0
1/7/1999 19:30,0
1/7/1999 20:30,0
1/7/1999 21:30,0
1/7/1999 22:30,0
1/7/1999 23:30,0
1/8/1999 0:30,0
1/8/1999 1:30,0
1/8/1999 2:30,0
1/8/1999 3:30,0
1/8/1999 4:30,0
1/8/1999 5:30,0
1/8/1999 6:30,0.0185
1/8/1999 7:30,0.0885
1/8/1999 8:30,0.203
1/8/1999 9:30,0.334
1/8/1999 10:30,0.4495
1/8/1999 11:30,0.5105
1/8/1999 12:30,0.503
1/8/1999 13:30,0.4075
1/8/1999 14:30,0.241
1/8/1999 15:30,0.087
1/8/1999 16:30,0.0125
1/8/1999 17:30,0
1/8/1999 18:30,0
1/8/1999 19:30,0
1/8/1999 20:30,0
1/8/1999 21:30,0
1/8/1999 22:30,0
1/8/1999 23:30,0
1/9/1999 0:30,0
1/9/1999 1:30,0
1/9/1999 2:30,0
1/9/1999 3:30,0
1/9/1999 4:30,0
1/9/1999 5:30,0
1/9/1999 6:30,0.0245
1/9/1999 7:30,0.1145
1/9/1999 8:30,0.2935
1/9/1999 9:30,0.4935
